Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Goiás;Masculino;81 a 90;AD-Condutor Moto/Ônibus;372
Centro-Oeste;Goiás;Masculino;81 a 90;AE-Condutor Moto/Carreta;18
Centro-Oeste;Goiás;Masculino;81 a 90;B-Condutor Carro;19793
Centro-Oeste;Goiás;Masculino;81 a 90;C-Condutor Caminhão;1883
Centro-Oeste;Goiás;Masculino;81 a 90;D-Condutor Ônibus;2582
Centro-Oeste;Goiás;Masculino;81 a 90;E-Condutor Carreta;163
Centro-Oeste;Goiás;Masculino;91 a 100;A-Condutor Moto;21
Centro-Oeste;Goiás;Masculino;91 a 100;AB-Condutor Moto/Carro;296
Centro-Oeste;Goiás;Masculino;91 a 100;AC-Condutor Moto/Caminhão;14
Centro-Oeste;Goiás;Masculino;91 a 100;AD-Condutor Moto/Ônibus;18
Centro-Oeste;Goiás;Masculino;91 a 100;B-Condutor Carro;5736
Centro-Oeste;Goiás;Masculino;91 a 100;C-Condutor Caminhão;205
Centro-Oeste;Goiás;Masculino;91 a 100;D-Condutor Ônibus;277
Centro-Oeste;Goiás;Masculino;91 a 100;E-Condutor Carreta;10
Centro-Oeste;Goiás;Masculino;101 a 120;AB-Condutor Moto/Carro;14
Centro-Oeste;Goiás;Masculino;101 a 120;AD-Condutor Moto/Ônibus;1
Centro-Oeste;Goiás;Masculino;101 a 120;B-Condutor Carro;522
Centro-Oeste;Goiás;Masculino;101 a 120;C-Condutor Caminhão;5
Centro-Oeste;Goiás;Masculino;101 a 120;D-Condutor Ônibus;7
Centro-Oeste;Goiás;Feminino;18 a 21;A-Condutor Moto;868
Centro-Oeste;Goiás;Feminino;18 a 21;AB-Condutor Moto/Carro;18768
Centro-Oeste;Goiás;Feminino;18 a 21;AC-Condutor Moto/Caminhão;3
Centro-Oeste;Goiás;Feminino;18 a 21;AD-Condutor Moto/Ônibus;3
Centro-Oeste;Goiás;Feminino;18 a 21;B-Condutor Carro;16330
Centro-Oeste;Goiás;Feminino;22 a 25;A-Condutor Moto;3728
Centro-Oeste;Goiás;Feminino;22 a 25;AB-Condutor Moto/Carro;45110
Centro-Oeste;Goiás;Feminino;22 a 25;AC-Condutor Moto/Caminhão;11
Centro-Oeste;Goiás;Feminino;22 a 25;AD-Condutor Moto/Ônibus;141
Centro-Oeste;Goiás;Feminino;22 a 25;AE-Condutor Moto/Carreta;4
Centro-Oeste;Goiás;Feminino;22 a 25;B-Condutor Carro;34015
Centro-Oeste;Goiás;Feminino;22 a 25;D-Condutor Ônibus;16
Centro-Oeste;Goiás;Feminino;26 a 30;A-Condutor Moto;7672
Centro-Oeste;Goiás;Feminino;26 a 30;AB-Condutor Moto/Carro;69988
Centro-Oeste;Goiás;Feminino;26 a 30;AC-Condutor Moto/Caminhão;27
Centro-Oeste;Goiás;Feminino;26 a 30;AD-Condutor Moto/Ônibus;639
Centro-Oeste;Goiás;Feminino;26 a 30;AE-Condutor Moto/Carreta;81
Centro-Oeste;Goiás;Feminino;26 a 30;B-Condutor Carro;49581
Centro-Oeste;Goiás;Feminino;26 a 30;C-Condutor Caminhão;8
Centro-Oeste;Goiás;Feminino;26 a 30;D-Condutor Ônibus;88
Centro-Oeste;Goiás;Feminino;26 a 30;E-Condutor Carreta;2
Centro-Oeste;Goiás;Feminino;31 a 40;A-Condutor Moto;18184
Centro-Oeste;Goiás;Feminino;31 a 40;AB-Condutor Moto/Carro;136098
Centro-Oeste;Goiás;Feminino;31 a 40;AC-Condutor Moto/Caminhão;74
Centro-Oeste;Goiás;Feminino;31 a 40;AD-Condutor Moto/Ônibus;2417
Centro-Oeste;Goiás;Feminino;31 a 40;AE-Condutor Moto/Carreta;315
Centro-Oeste;Goiás;Feminino;31 a 40;B-Condutor Carro;126187
Centro-Oeste;Goiás;Feminino;31 a 40;C-Condutor Caminhão;36
Centro-Oeste;Goiás;Feminino;31 a 40;D-Condutor Ônibus;579
Centro-Oeste;Goiás;Feminino;31 a 40;E-Condutor Carreta;30
Centro-Oeste;Goiás;Feminino;41 a 50;A-Condutor Moto;13127
Centro-Oeste;Goiás;Feminino;41 a 50;AB-Condutor Moto/Carro;69120
Centro-Oeste;Goiás;Feminino;41 a 50;AC-Condutor Moto/Caminhão;142
Centro-Oeste;Goiás;Feminino;41 a 50;AD-Condutor Moto/Ônibus;1606
Centro-Oeste;Goiás;Feminino;41 a 50;AE-Condutor Moto/Carreta;280
Centro-Oeste;Goiás;Feminino;41 a 50;B-Condutor Carro;118172
Centro-Oeste;Goiás;Feminino;41 a 50;C-Condutor Caminhão;108
Centro-Oeste;Goiás;Feminino;41 a 50;D-Condutor Ônibus;977
Centro-Oeste;Goiás;Feminino;41 a 50;E-Condutor Carreta;69
Centro-Oeste;Goiás;Feminino;51 a 60;A-Condutor Moto;4913
Centro-Oeste;Goiás;Feminino;51 a 60;AB-Condutor Moto/Carro;20606
Centro-Oeste;Goiás;Feminino;51 a 60;AC-Condutor Moto/Caminhão;156
Centro-Oeste;Goiás;Feminino;51 a 60;AD-Condutor Moto/Ônibus;515
Centro-Oeste;Goiás;Feminino;51 a 60;AE-Condutor Moto/Carreta;83
Centro-Oeste;Goiás;Feminino;51 a 60;B-Condutor Carro;90875
Centro-Oeste;Goiás;Feminino;51 a 60;C-Condutor Caminhão;277
Centro-Oeste;Goiás;Feminino;51 a 60;D-Condutor Ônibus;837
