Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Goiás;Masculino;71 a 80;C-Condutor Caminhão;6726
Centro-Oeste;Goiás;Masculino;71 a 80;D-Condutor Ônibus;9570
Centro-Oeste;Goiás;Masculino;71 a 80;E-Condutor Carreta;2162
Centro-Oeste;Goiás;Masculino;81 a 90;A-Condutor Moto;490
Centro-Oeste;Goiás;Masculino;81 a 90;AB-Condutor Moto/Carro;4945
Centro-Oeste;Goiás;Masculino;81 a 90;AC-Condutor Moto/Caminhão;467
Centro-Oeste;Goiás;Masculino;81 a 90;AD-Condutor Moto/Ônibus;730
Centro-Oeste;Goiás;Masculino;81 a 90;AE-Condutor Moto/Carreta;52
Centro-Oeste;Goiás;Masculino;81 a 90;B-Condutor Carro;28712
Centro-Oeste;Goiás;Masculino;81 a 90;C-Condutor Caminhão;3076
Centro-Oeste;Goiás;Masculino;81 a 90;D-Condutor Ônibus;4043
Centro-Oeste;Goiás;Masculino;81 a 90;E-Condutor Carreta;361
Centro-Oeste;Goiás;Masculino;91 a 100;A-Condutor Moto;66
Centro-Oeste;Goiás;Masculino;91 a 100;AB-Condutor Moto/Carro;799
Centro-Oeste;Goiás;Masculino;91 a 100;AC-Condutor Moto/Caminhão;40
Centro-Oeste;Goiás;Masculino;91 a 100;AD-Condutor Moto/Ônibus;77
Centro-Oeste;Goiás;Masculino;91 a 100;AE-Condutor Moto/Carreta;2
Centro-Oeste;Goiás;Masculino;91 a 100;B-Condutor Carro;10463
Centro-Oeste;Goiás;Masculino;91 a 100;C-Condutor Caminhão;567
Centro-Oeste;Goiás;Masculino;91 a 100;D-Condutor Ônibus;821
Centro-Oeste;Goiás;Masculino;91 a 100;E-Condutor Carreta;43
Centro-Oeste;Goiás;Masculino;101 a 120;A-Condutor Moto;1
Centro-Oeste;Goiás;Masculino;101 a 120;AB-Condutor Moto/Carro;44
Centro-Oeste;Goiás;Masculino;101 a 120;AC-Condutor Moto/Caminhão;2
Centro-Oeste;Goiás;Masculino;101 a 120;AD-Condutor Moto/Ônibus;3
Centro-Oeste;Goiás;Masculino;101 a 120;B-Condutor Carro;1687
Centro-Oeste;Goiás;Masculino;101 a 120;C-Condutor Caminhão;29
Centro-Oeste;Goiás;Masculino;101 a 120;D-Condutor Ônibus;43
Centro-Oeste;Goiás;Masculino;101 a 120;E-Condutor Carreta;2
Centro-Oeste;Goiás;Feminino;18 a 21;A-Condutor Moto;799
Centro-Oeste;Goiás;Feminino;18 a 21;AB-Condutor Moto/Carro;21038
Centro-Oeste;Goiás;Feminino;18 a 21;AC-Condutor Moto/Caminhão;3
